statistics  130  statistical  reasoning,01 ,lecture,monday  wednesday,10:10  am,12:00  pm,baker  center  for  science  room  0102,180-0102,0,130,course_num
statistics  427  mathematical  statistics,01 ,lecture,monday  tuesday  wednesday  thursday,04:10  pm,05:00  pm,erhart  agriculture  room  0115,010-0115,1,427,427
statistics  427  mathematical  statistics,02 ,lecture,monday  tuesday  wednesday  thursday,05:10  pm,06:00  pm,erhart  agriculture  room  0115,010-0115,2,427,427
statistics  419  applied  multivariate  statistics,01 ,lecture,tuesday  thursday,02:10  pm,04:00  pm,mathematics  and  science  room  0123,038-0123,3,419,427
statistics  419  applied  multivariate  statistics,02 ,lecture,tuesday  thursday,04:10  pm,06:00  pm,mathematics  and  science  room  0123,038-0123,4,419,427
statistics  302  statistics  ii,03 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,construction  innovations  center  room  c203,186-c203,5,302,427
statistics  302  statistics  ii,04 ,lecture,monday  tuesday  wednesday  thursday,04:10  pm,05:00  pm,construction  innovations  center  room  c203,186-c203,6,302,427
statistics  365  statistical  communication,01 ,lecture,tuesday  thursday,09:10  am,10:00  am,mathematics  and  science  room  0123,038-0123,7,365,427
statistics  365  statistical  communication,02 ,lecture,tuesday  thursday,10:10  am,11:00  am,mathematics  and  science  room  0123,038-0123,8,365,427
stat-324-70-2194  has  one  ptype  overlap,70 ,lecture,monday  tuesday  wednesday  thursday,10:10  am,11:00  am,pilling  building  room  0247,014-0247,9,324,427
statistics  217  introduction  to  statistical  concepts  and  methods,03 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,engineering  west  room  0237,021-0237,10,217,427
statistics  217  introduction  to  statistical  concepts  and  methods,04 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,engineering  west  room  0237,021-0237,11,217,427
stat-524-70-2194  has  one  ptype  overlap,70 ,lecture,monday  tuesday  wednesday  thursday,10:10  am,11:00  am,pilling  building  room  0247,014-0247,12,524,427
statistics  217  introduction  to  statistical  concepts  and  methods,03 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,engineering  west  room  0237,021-0237,13,217,427
statistics  217  introduction  to  statistical  concepts  and  methods,04 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,engineering  west  room  0237,021-0237,14,217,427
stat-331-70-2194  has  one  ptype  overlap,70 ,lecture,monday  wednesday,02:10  pm,04:00  pm,mathematics  and  science  room  0123,038-0123,15,331,427
stat-531-71-2194  has  one  ptype  overlap,71 ,lecture,monday  wednesday,10:10  am,12:00  pm,mathematics  and  science  room  0123,038-0123,16,531,427
stat-331-71-2194  has  one  ptype  overlap,71 ,lecture,monday  wednesday,10:10  am,12:00  pm,mathematics  and  science  room  0123,038-0123,17,331,427
stat-531-71-2194  has  one  ptype  overlap,71 ,lecture,monday  wednesday,10:10  am,12:00  pm,mathematics  and  science  room  0123,038-0123,18,531,427
statistics  434  statistical  learning:  methods  and  applications,01 ,lecture,monday  wednesday,08:10  am,10:00  am,mathematics  and  science  room  0123,038-0123,19,434,427
data  science  452  data  science  capstone  ii,01 ,laboratory,monday  wednesday  friday,02:10  pm,04:00  pm,pilling  building  room  0257,014-0257,20,452,427
data  science  452  data  science  capstone  ii,01 ,laboratory,monday  wednesday  friday,02:10  pm,04:00  pm,pilling  building  room  0257,014-0257,21,452,427
stat-312-70-2194  has  one  ptype  overlap,70 ,lecture,tuesday  thursday,04:10  pm,06:00  pm,graphic  arts  room  0104,026-0104,22,312,427
stat-312-71-2194  has  one  ptype  overlap,71 ,lecture,tuesday  thursday,06:10  pm,08:00  pm,graphic  arts  room  0104,026-0104,23,312,427
statistics  350  probability  and  random  processes  for  engineers,01 ,lecture,monday  tuesday  wednesday  thursday,02:10  pm,03:00  pm,pilling  building  room  0252,014-0252,24,350,427
statistics  350  probability  and  random  processes  for  engineers,02 ,lecture,monday  tuesday  wednesday  thursday,03:10  pm,04:00  pm,pilling  building  room  0252,014-0252,25,350,427
statistics  313  applied  experimental  design  and  regression  models,01 ,lecture,monday  wednesday,12:10  pm,01:00  pm,pilling  building  room  0247,014-0247,26,313,427
statistics  313  applied  experimental  design  and  regression  models,02 ,lecture,monday  wednesday,01:10  pm,02:00  pm,pilling  building  room  0247,014-0247,27,313,427
statistics  313  applied  experimental  design  and  regression  models,02 ,lecture,tuesday  thursday,01:10  pm,02:00  pm,kennedy  library  room  0111b,035-0111b,28,313,427
stat-323-71-2194  has  one  ptype  overlap,71 ,lecture,monday  tuesday  wednesday  thursday,09:10  am,10:00  am,pilling  building  room  0247,014-0247,29,323,427
statistics  313  applied  experimental  design  and  regression  models,01 ,lecture,tuesday  thursday,12:10  pm,01:00  pm,kennedy  library  room  0111b,035-0111b,30,313,427
statistics  313  applied  experimental  design  and  regression  models,02 ,lecture,monday  wednesday,01:10  pm,02:00  pm,pilling  building  room  0247,014-0247,31,313,427
